Year,State,Region,Population_Crore,Murder,Rape,Kidnapping,Robbery,Theft,Assault,Cybercrime,Fraud,Total_Crimes,Crime_Rate_per_100k,YoY_Change_%,Violent_Crimes,Property_Crimes
2023,Uttar Pradesh,North,233.343,3556,8183,5507,3917,35157,46306,33128,26891,162645,6.97,8.27,67469,65965
2024,Uttar Pradesh,North,235.7,3671,5808,9608,4032,31848,44244,45637,20866,165714,7.03,1.89,67363,56746
2015,Uttarakhand,North,10.647,245,334,634,172,2108,1788,1301,984,7566,7.11,,3173,3264
2016,Uttarakhand,North,10.764,163,390,514,163,3543,3092,1019,1408,10292,9.56,36.03,4322,5114
2017,Uttarakhand,North,10.881,198,560,546,290,2131,3325,1064,709,8823,8.11,-14.27,4919,3130
2018,Uttarakhand,North,10.998,153,444,505,316,3723,1691,1768,816,9416,8.56,6.72,3109,4855
2019,Uttarakhand,North,11.115,262,534,521,321,2551,2582,2187,1253,10211,9.19,8.44,4220,4125
2020,Uttarakhand,North,11.232,167,363,530,195,1882,2603,2020,704,8464,7.54,-17.11,3858,2781
2021,Uttarakhand,North,11.349,176,308,424,247,3324,2826,2019,1210,10534,9.28,24.46,3981,4781
2022,Uttarakhand,North,11.466,277,455,738,323,2285,3231,1619,2008,10936,9.54,3.82,5024,4616
2023,Uttarakhand,North,11.583,179,364,701,227,4022,2358,2761,2186,12798,11.05,17.03,3829,6435
2024,Uttarakhand,North,11.7,244,417,438,181,2814,3315,4016,2706,14131,12.08,10.42,4595,5701
2015,West Bengal,East,91.91,1892,3632,3076,2740,24827,20713,3351,6595,66826,7.27,,32053,34162
2016,West Bengal,East,92.92,1624,4190,3997,1865,30489,13715,7411,4248,67539,7.27,1.07,25391,36602
2017,West Bengal,East,93.93,1933,4416,3279,2778,19545,27634,12877,11412,83874,8.93,24.19,40040,33735
2018,West Bengal,East,94.94,1260,4627,4740,1809,29328,17316,16511,5934,81525,8.59,-2.8,29752,37071
2019,West Bengal,East,95.95,1984,3658,2846,1730,15458,21032,9184,11716,67608,7.05,-17.07,31250,28904
2020,West Bengal,East,96.96,1317,2554,4106,1141,26224,23341,14066,10471,83220,8.58,23.09,32459,37836
2021,West Bengal,East,97.97,2068,2619,2652,1640,27909,12655,15760,17326,82629,8.43,-0.71,21634,46875
2022,West Bengal,East,98.98,2282,3852,2925,3044,27621,15729,7901,19481,82835,8.37,0.25,27832,50146
2023,West Bengal,East,99.99,2124,4786,5809,2570,26633,22179,14311,13969,92381,9.24,11.52,37468,43172
2024,West Bengal,East,101,2288,4245,5979,2353,28970,26622,23219,19375,113051,11.19,22.37,41487,50698
2015,Andaman and Nicobar Islands,Islands,0.364,10,10,10,5,64,71,20,22,212,5.82,,106,91
2016,Andaman and Nicobar Islands,Islands,0.368,10,10,10,5,53,51,8,13,160,4.35,-24.53,86,71
2017,Andaman and Nicobar Islands,Islands,0.372,10,11,10,5,47,59,17,16,175,4.7,9.38,95,68
2018,Andaman and Nicobar Islands,Islands,0.376,10,10,10,5,40,37,22,33,167,4.44,-4.57,72,78
2019,Andaman and Nicobar Islands,Islands,0.38,10,10,10,8,58,37,38,17,188,4.95,12.57,75,83
2020,Andaman and Nicobar Islands,Islands,0.384,10,10,11,5,61,67,15,19,198,5.16,5.32,103,85
2021,Andaman and Nicobar Islands,Islands,0.388,10,10,10,7,69,58,27,40,231,5.95,16.67,95,116
2022,Andaman and Nicobar Islands,Islands,0.392,10,12,10,6,45,48,18,40,189,4.82,-18.18,86,91
2023,Andaman and Nicobar Islands,Islands,0.396,10,10,10,6,62,42,44,49,233,5.88,23.28,78,117
2024,Andaman and Nicobar Islands,Islands,0.4,10,10,10,8,79,72,44,46,279,6.98,19.74,110,133
2015,Chandigarh,North,1.092,12,29,29,19,182,96,76,28,471,4.31,,185,229
2016,Chandigarh,North,1.104,12,17,17,13,136,142,64,30,431,3.9,-8.49,201,179
2017,Chandigarh,North,1.116,10,25,24,18,182,188,86,57,590,5.29,36.89,265,257
2018,Chandigarh,North,1.128,13,20,24,19,161,187,112,93,629,5.58,6.61,263,273
2019,Chandigarh,North,1.14,15,24,25,16,155,166,113,90,604,5.3,-3.97,246,261
2020,Chandigarh,North,1.152,10,16,23,9,185,112,44,35,434,3.77,-28.15,170,229
2021,Chandigarh,North,1.164,13,26,24,9,152,123,124,91,562,4.83,29.49,195,252
2022,Chandigarh,North,1.176,12,21,43,16,208,115,120,51,586,4.98,4.27,207,275
2023,Chandigarh,North,1.188,13,36,29,10,122,152,73,55,490,4.12,-16.38,240,187
2024,Chandigarh,North,1.2,16,27,27,23,137,235,110,159,734,6.12,49.8,328,319
2015,Dadra and Nagar Haveli and Daman and Diu,West,0.728,13,31,22,20,143,126,38,51,444,6.1,,212,214
2016,Dadra and Nagar Haveli and Daman and Diu,West,0.736,10,24,28,18,199,136,43,42,500,6.79,12.61,216,259
2017,Dadra and Nagar Haveli and Daman and Diu,West,0.744,10,16,24,12,220,153,54,67,556,7.47,11.2,215,299
2018,Dadra and Nagar Haveli and Daman and Diu,West,0.752,10,23,31,15,155,210,118,77,639,8.5,14.93,289,247
2019,Dadra and Nagar Haveli and Daman and Diu,West,0.76,13,27,22,14,113,150,93,55,487,6.41,-23.79,226,182
2020,Dadra and Nagar Haveli and Daman and Diu,West,0.768,13,27,28,13,182,89,113,42,507,6.6,4.11,170,237
2021,Dadra and Nagar Haveli and Daman and Diu,West,0.776,14,20,35,20,120,141,165,80,595,7.67,17.36,230,220
2022,Dadra and Nagar Haveli and Daman and Diu,West,0.784,16,28,28,13,142,198,103,99,627,8,5.38,283,254
2023,Dadra and Nagar Haveli and Daman and Diu,West,0.792,13,29,40,24,174,212,181,113,786,9.92,25.36,318,311
2024,Dadra and Nagar Haveli and Daman and Diu,West,0.8,17,22,22,22,182,219,223,64,771,9.64,-1.91,302,268
2015,Delhi,North,18.2,385,801,1012,678,3483,4735,2130,2083,15307,8.41,,7611,6244
2016,Delhi,North,18.4,451,601,798,446,6758,4039,1242,2794,17129,9.31,11.9,6335,9998
2017,Delhi,North,18.6,299,1127,1097,666,4791,3031,3100,2854,16965,9.12,-0.96,6220,8311
2018,Delhi,North,18.8,483,633,1180,654,6448,6298,3943,2639,22278,11.85,31.32,9248,9741
2019,Delhi,North,19,332,862,681,500,5498,3393,2440,1594,15300,8.05,-31.32,5768,7592
2020,Delhi,North,19.2,428,962,567,633,5029,3695,1225,2344,14883,7.75,-2.73,6285,8006
2021,Delhi,North,19.4,482,949,627,327,5208,4173,2233,2213,16212,8.36,8.93,6558,7748
2022,Delhi,North,19.6,544,1212,998,782,5470,5526,2676,3856,21064,10.75,29.93,9062,10108
2023,Delhi,North,19.8,603,1018,980,667,4645,7598,4651,3471,23633,11.94,12.2,10866,8783
2024,Delhi,North,20,507,1054,753,699,5320,6913,7238,5139,27623,13.81,16.88,9926,11158
2015,Jammu and Kashmir,North,12.74,197,290,547,195,2636,1944,427,942,7178,5.63,,3173,3773
2016,Jammu and Kashmir,North,12.88,148,469,397,142,2726,1516,695,1133,7226,5.61,0.67,2672,4001
2017,Jammu and Kashmir,North,13.02,152,506,292,199,3257,2100,541,901,7948,6.1,9.99,3249,4357
2018,Jammu and Kashmir,North,13.16,181,518,414,325,3645,2393,2044,1018,10538,8.01,32.59,3831,4988
2019,Jammu and Kashmir,North,13.3,269,301,565,264,2652,2870,1904,644,9469,7.12,-10.14,4269,3560
2020,Jammu and Kashmir,North,13.44,144,411,467,312,2889,2973,1749,916,9861,7.34,4.14,4307,4117
2021,Jammu and Kashmir,North,13.58,156,486,522,155,2465,3384,1702,1295,10165,7.49,3.08,4703,3915
2022,Jammu and Kashmir,North,13.72,221,360,474,252,2067,3369,1835,2190,10768,7.85,5.93,4676,4509
2023,Jammu and Kashmir,North,13.86,278,368,604,283,4034,2159,2807,1984,12517,9.03,16.24,3692,6301
2024,Jammu and Kashmir,North,14,209,351,614,357,2781,3223,2133,2342,12010,8.58,-4.05,4754,5480
2015,Ladakh,North,0.273,10,10,10,5,29,38,9,17,128,4.69,,73,51
2016,Ladakh,North,0.276,10,10,10,5,31,35,15,13,129,4.67,0.78,70,49
2017,Ladakh,North,0.279,10,10,10,5,58,39,22,13,167,5.99,29.46,74,76
2018,Ladakh,North,0.282,10,10,10,5,32,24,28,24,143,5.07,-14.37,59,61
2019,Ladakh,North,0.285,10,10,10,5,55,41,18,17,166,5.82,16.08,76,77
2020,Ladakh,North,0.288,10,10,10,5,48,20,33,23,159,5.52,-4.22,55,76
2021,Ladakh,North,0.291,10,10,10,5,29,30,17,21,132,4.54,-16.98,65,55
2022,Ladakh,North,0.294,10,10,10,6,64,54,54,27,235,7.99,78.03,90,97
2023,Ladakh,North,0.297,10,10,10,5,38,31,41,36,181,6.09,-22.98,66,79
2024,Ladakh,North,0.3,10,10,10,5,46,52,26,25,184,6.13,1.66,87,76
2015,Lakshadweep,Islands,0.064,10,10,10,5,11,10,5,5,66,10.36,,45,21
2016,Lakshadweep,Islands,0.064,10,10,10,5,13,15,7,5,75,11.65,13.64,50,23
2017,Lakshadweep,Islands,0.065,10,10,10,5,16,10,5,6,72,11.06,-4,45,27
2018,Lakshadweep,Islands,0.066,10,10,10,5,21,20,5,10,91,13.83,26.39,55,36
2019,Lakshadweep,Islands,0.067,10,10,10,5,24,17,6,7,89,13.38,-2.2,52,36
2020,Lakshadweep,Islands,0.067,10,10,10,5,11,17,13,10,86,12.8,-3.37,52,26
2021,Lakshadweep,Islands,0.068,10,10,10,5,13,15,13,6,82,12.08,-4.65,50,24
2022,Lakshadweep,Islands,0.069,10,10,10,5,23,17,5,5,85,12.39,3.66,52,33
2023,Lakshadweep,Islands,0.069,10,10,10,5,15,15,21,13,99,14.29,16.47,50,33
2024,Lakshadweep,Islands,0.07,10,10,10,5,22,12,11,10,90,12.86,-9.09,47,37
2015,Puducherry,South,1.547,44,46,96,38,431,506,230,214,1605,10.37,,730,683
2016,Puducherry,South,1.564,36,63,100,34,501,378,212,123,1447,9.25,-9.84,611,658
2017,Puducherry,South,1.581,29,93,58,45,389,272,77,125,1088,6.88,-24.81,497,559
2018,Puducherry,South,1.598,44,62,115,49,477,478,239,259,1723,10.78,58.36,748,785
2019,Puducherry,South,1.615,33,67,114,65,660,428,364,221,1952,12.09,13.29,707,946
2020,Puducherry,South,1.632,31,49,78,28,376,496,148,116,1322,8.1,-32.27,682,520
2021,Puducherry,South,1.649,27,94,83,41,598,556,233,293,1925,11.67,45.61,801,932
2022,Puducherry,South,1.666,46,89,68,66,562,401,329,157,1718,10.31,-10.75,670,785
2023,Puducherry,South,1.683,32,97,58,47,567,316,655,230,2002,11.9,16.53,550,844
2024,Puducherry,South,1.7,37,72,77,30,666,706,277,397,2262,13.31,12.99,922,1093
